Time;Channel;Count
2021-04-15 09:41:49.276389;Nederlands;1
2021-04-15 09:41:49.286928;Switch_on;1
2021-04-15 09:41:49.289852;Nederlands;1
2021-04-15 09:41:49.300291;Switch_on;1
2021-04-15 09:41:49.303115;Nederlands;1
2021-04-15 09:41:49.313478;Switch_on;1
2021-04-15 09:41:49.315999;Nederlands;1
2021-04-15 09:41:49.326337;Switch_on;1
2021-04-15 09:41:49.328825;Nederlands;1
2021-04-15 09:41:49.339150;Switch_on;1
2021-04-15 09:41:49.341699;Nederlands;1
2021-04-15 09:41:49.352045;Switch_on;1
2021-04-15 09:41:49.354535;Nederlands;1
2021-04-15 09:41:49.364866;Switch_on;1
2021-04-15 09:41:49.367353;Nederlands;1
2021-04-15 09:41:49.377724;Switch_on;1
2021-04-15 09:41:49.380493;Nederlands;1
2021-04-15 09:41:49.390896;Switch_on;1
2021-04-15 09:41:49.393407;Nederlands;1
2021-04-15 09:41:49.403742;Switch_on;1
2021-04-15 09:41:49.406223;Nederlands;1
2021-04-15 09:41:49.416705;Switch_on;1
2021-04-15 09:41:49.419532;Nederlands;1
2021-04-15 09:41:49.429918;Switch_on;1
2021-04-15 09:41:49.432769;Nederlands;1
2021-04-15 09:41:49.443153;Switch_on;1
2021-04-15 09:41:49.445940;Nederlands;1
2021-04-15 09:41:49.456302;Switch_on;1
2021-04-15 09:41:49.459110;Nederlands;1
2021-04-15 09:41:49.469473;Switch_on;1
2021-04-15 09:41:49.472310;Nederlands;1
2021-04-15 09:41:49.482742;Switch_on;1
2021-04-15 09:41:49.485766;Nederlands;1
2021-04-15 09:41:49.496163;Switch_on;1
2021-04-15 09:41:49.498962;Nederlands;1
2021-04-15 09:41:49.509325;Switch_on;1
2021-04-15 09:41:49.512182;Nederlands;1
2021-04-15 09:41:49.522563;Switch_on;1
2021-04-15 09:41:49.525359;Nederlands;1
2021-04-15 09:41:49.535721;Switch_on;1
2021-04-15 09:41:49.538500;Nederlands;1
2021-04-15 09:41:49.549181;Switch_on;1
2021-04-15 09:41:49.552240;Nederlands;1
2021-04-15 09:41:49.562655;Switch_on;1
2021-04-15 09:41:49.565528;Nederlands;1
2021-04-15 09:41:49.575941;Switch_on;1
2021-04-15 09:41:49.578920;Nederlands;1
2021-04-15 09:41:49.589333;Switch_on;1
2021-04-15 09:41:49.592235;Nederlands;1
2021-04-15 09:41:49.602623;Switch_on;1
2021-04-15 09:41:49.605422;Nederlands;1
2021-04-15 09:41:49.615788;Switch_on;1
2021-04-15 09:41:49.618575;Nederlands;1
2021-04-15 09:41:49.628933;Switch_on;1
2021-04-15 09:41:49.631792;Nederlands;1
2021-04-15 09:41:49.642172;Switch_on;1
2021-04-15 09:41:49.644974;Nederlands;1
2021-04-15 09:41:49.655338;Switch_on;1
2021-04-15 09:41:49.658122;Nederlands;1
2021-04-15 09:41:49.668480;Switch_on;1
2021-04-15 09:41:49.671333;Nederlands;1
2021-04-15 09:41:49.681758;Switch_on;1
2021-04-15 09:41:49.684812;Nederlands;1
2021-04-15 09:41:49.695218;Switch_on;1
2021-04-15 09:41:49.698019;Nederlands;1
2021-04-15 09:41:49.708383;Switch_on;1
2021-04-15 09:41:49.711246;Nederlands;1
2021-04-15 09:41:49.721627;Switch_on;1
2021-04-15 09:41:49.724428;Nederlands;1
2021-04-15 09:41:49.734793;Switch_on;1
2021-04-15 09:41:49.737577;Nederlands;1
2021-04-15 09:41:49.747934;Switch_on;1
2021-04-15 09:41:49.750781;Nederlands;1
2021-04-15 09:41:49.761159;Switch_on;1
